Summary,Index,Generated Summary,Reference Summary,BERTScore Precision,BERTScore Recall,BERTScore F1,ROUGE-1 Precision,ROUGE-1 Recall,ROUGE-1 F1,ROUGE-2 Precision,ROUGE-2 Recall,ROUGE-2 F1,ROUGE-L Precision,ROUGE-L Recall,ROUGE-L F1,VADER Generated Compound,VADER Reference Compound,VADER Difference,VADER Generated Compound,VADER Reference Compound,Vader Absolute diff
Summary 11,11,"summarize: Biting his nails nervously, these are the first pictures of the migrant boat captain accused of killing 900 men, women and children in one of the worst maritime disasters since World War Two. Tunisian skipper Mohammed Ali Malek, 27, was arrested when he stepped onto Sicilian soil last night, some 24 hours after his boat capsized in the Mediterranean. Before leaving the Italian coastguard vessel, however, he was forced to watch the bodies of 24 victims of the tragedy being carried off the ship for burial on the island of Malta. He was later charged with multiple manslaughter, causing a shipwreck and aiding illegal immigration. Prosecutors claim he contributed to the disaster by mistakenly ramming the overcrowded fishing boat into a merchant ship that had come to its rescue.","Mohammed Ali Malek, 27, has been charged with multiple manslaughter .
Arrived in Malta on Italian rescue ship with bodies of 24 migrant victims .
He was arrested alongside his 26-year-old Syrian 'smuggler accomplice'
Prosecutors say Malek crashed into ship which had come to its rescue .
Migrants then shifted position as result of collision, causing it to capsize .",0.1322476566,0.2333792001,0.1836445779,0.2615384615,0.5862068966,0.3617021277,0.1085271318,0.2456140351,0.1505376344,0.1538461538,0.3448275862,0.2127659574,0.9906,0.6369,0.3537,-0.9906,-0.6369,0.3537
Summary 12,12,"summarize: South Korea Ambassador Lippert is now wearing a dynamic exoskeletal brace on his hand while he recovers from last month's knife attack. Mark Lippert, 42, suffered deep gashes to his cheek and hand when he was assaulted by knife-wielding nationalist Kim Ki-Jong at a breakfast function in central Seoul last month. The envoy required 80 stitches to the wound on his face and two-and-a-half hours of surgery. Scroll down for video . South Korea Ambassador Lippert is now wearing a dynamic exoskeletal brace on his hand (pictured) while he recovers from last month's knife attack . Mark Lippert, 42, suffered deep gashes to his cheek and hand when he was assaulted by knife-wielding nationalist Kim Ki-Jong at a breakfast function in central Seoul last month. Pictured: Lippert pictured with the brace with his wife and young baby .","Lippert, 42, suffered deep gashes to his hand when he was assaulted by knife-wielding nationalist Kim Ki-Jong in central Seoul last month .
'It is an amazing apparatus, one I haven't seen before - so innovative and creative,' he wrote on Facebook .",0.1261882931,0.3275742233,0.2261808217,0.1931034483,0.6511627907,0.2978723404,0.1527777778,0.5238095238,0.2365591398,0.1862068966,0.6279069767,0.2872340426,0.34,0.8077,-0.4677,-0.34,0.8077,0.4677
Summary 13,13,"summarize: England captain Alastair Cook completed a much-needed century on the second morning of England's opening tour match in the West Indies. Cook resumed on 95 and reached three figures with minimal fuss before retiring out. England captain Alastair Cook completed a century on the second morning of England's opening tour match . A controlled thick edge from the first ball of the day brought him an 11th boundary of the innings and in the following over he punched the ball for two off the back foot. He offered a gentle wave of the bat and a handshake to partner Gary Ballance and walked off on 101 from 200 deliveries. That allowed Ian Bell to arrive at the crease, with batting time more important to the tourists than attempting to force a result in this two-day fixture.","Alastair Cook completed his century on the second morning of action .
England captain resumed on 95 and reached three figures before retiring .
That allowed Ian Bell to arrive at the crease as tourists continued to bat .",0.1223819479,0.4255686104,0.2707565725,0.2285714286,0.8888888889,0.3636363636,0.1654676259,0.6571428571,0.2643678161,0.2142857143,0.8333333333,0.3409090909,0.659,0.1027,0.5563,0.659,0.1027,0.5563
Summary 14,14,"summarize: (CNN)Warren Weinstein, who appears to have been the only American citizen held hostage by al Qaeda, was accidentally killed in a U.S. drone strike in January. But it didn't have to be that way. A senior U.S. official familiar with the handling of the issue told CNN that the U.S. government made no serious effort to negotiate for the 73-year-old development expert's release, either directly to al Qaeda or through proxies in Pakistan. Another senior U.S. official told CNN that Weinstein's capture by al Qaeda made it hard for the United States to negotiate, even though proxies such as the Pakistani government have links to intermediaries who might have helped.","U.S. hostage Warren Weinstein is believed to have been accidentally killed in counter-terrorism strike .
Peter Bergen: U.S. should rethink hostage policy to increase chances of freeing those held .",0.05905309319,0.2927511334,0.1745796204,0.1404958678,0.5483870968,0.2236842105,0.05833333333,0.2333333333,0.09333333333,0.09917355372,0.3870967742,0.1578947368,0.0688,0.296,-0.2272,-0.0688,-0.296,0.2272
Summary 15,15,"summarize: A thief nicknamed the 'Black Widow of Facebook' who drugged and robbed men after she lured them into bed has been arrested. Argentinian con-artist Sofia Davila posted raunchy pictures or herself online and then flirted with unsuspecting men she had contacted on the social network, suggesting they meet up for sex. But after meeting her victims, the 21-year-old from Buenos Aires, would spike their drinks and wait for them to fall unconscious, before ransacking their homes. Buenos Aires thief Sofia Davila, 21, would start chatting to men over Facebook before suggesting that they meet up. When they did, she would spike their drinks and rob their homes after they fell unconscious . The 21-year-old posted raunchy pictures of herself on Facebook and flirt with strangers she added on the network. She was caught after trying to trick police that she was an innocent bystanders in the robberies .","Sofia Davila, 21, nicknamed the 'Black Widow of Facebook' over crimes .
Caught after going to police, claiming she was forced out her victim's flat .
She has admitted bedding and robbing 15 men after spiking their drinks .",0.1150993183,0.383082062,0.2468588054,0.1842105263,0.7567567568,0.2962962963,0.09271523179,0.3888888889,0.1497326203,0.09868421053,0.4054054054,0.1587301587,0.9325,0.3818,0.5507,-0.9325,-0.3818,0.5507
Summary 16,16,"summarize: As Australian Fashion Week comes to a close, a new damning report has named and shamed some of the worst clothing brands sold in Australia and their companies, for the ongoing exploitation of their overseas workers. Lowes, Industrie, Best & Less and the Just Group - which includes Just Jeans, Portmans and Dotti - were identified as some of the worst performing companies by The 2015 Australian Fashion Report. Amongst the best performers were Etiko, Audrey Blue, Cotton On, H&M and Zara. The report assessed the labour rights management systems of 59 companies and 219 brands operating in Australia. The 2015 Australian Fashion Report has named and shamed some of the worst Aussie clothing brands and companies for their ongoing exploitation of overseas workers . Amongst the best performers were Etiko, Audrey Blue, Cotton On, H&M and Zara .","Australian Fashion Report revealed the Australian-sold brands and companies that ignore the exploitation of their overseas workers .
Lowes, Industrie, Best & Less and the Just Group - which includes Just Jeans, Portmans and Dotti - were  some of the worst performers .
Etiko, Audrey Blue, Cotton On, H&M and Zara had some of the best scores .
75 per cent of companies don't know the source of all their fabrics and inputs .",0.3582002521,0.4910366237,0.4247344732,0.401459854,0.7857142857,0.5314009662,0.2867647059,0.5652173913,0.3804878049,0.3649635036,0.7142857143,0.4830917874,0.8519,0.4215,0.4304,-0.8519,0.4215,0.4304
Summary 17,17,"summarize: Arsenal's midfield trio Jack Wilshere, Mikel Arteta and Abou Diaby have all been handed starts for the club's Under 21s game on Tuesday night as they continue their respective recoveries from injury. Steve Gatting's young Gunners take on Stoke City at the Emirates Stadium in a U21 Premier League clash. Teenage winger Serge Gnabry is also in the starting line-up, alongside a host of promising youngsters including Dan Crowley. Jack Wilshere, pictured in first team training last week, starts for Arsenal Under 21s on Tuesday night . Club captain Mikel Arteta (left) is also in the team to play against Stoke City at the Emirates Stadium . Wilshere watched Arsenal beat Liverpool 4-1 in the Premier League from the stands on Saturday afternoon . Iliev, Maitland-Niles, O’Connor, Bielik, Ormonde-Ottewill, Diaby, Arteta, Gnabry, Wilshere, Crowley, Iwobi .","Arsenal take on Stoke City in Barclays Under 21 Premier League clash .
Jack Wilshere and club captain Mikel Arteta have been out since November .
Abou Diaby has been ravaged by injuries during nine-year spell at club .
Arteta, Wilshere and Diaby are all close to first-team returns .
Young winger Serge Gnabry also in the side on return from injury .
READ: Arsenal's Alex Oxlade-Chamberlain, Calum Chambers, Jack Wilshere and Danny Welbeck keep their agents close .
CLICK HERE for all the latest Arsenal news .",0.05697835237,0.2264720201,0.1417111754,0.3404255319,0.5647058824,0.4247787611,0.1285714286,0.2142857143,0.1607142857,0.1489361702,0.2470588235,0.185840708,0.6249,0.4215,0.2034,0.6249,-0.4215,0.2034
Summary 18,18,"summarize: Tragedy: Prasanna ‘Nick’ Arulchelvam died when he fell from a van while chasing a gang of thieves . A courageous shopkeeper was killed when he made a desperate attempt to stop a gang of thieves who had broken into his van in a cash and carry car park. Prasanna ‘Nick’ Arulchelvam ran and jumped through an open side door of their van, but was pushed out and hit the ground as the vehicle sped away. A customer in the Costco car park in Watford where the incident happened reported hearing a ‘nasty crunch’ as the 34-year-old’s head hit the ground. Today, the man who pushed Mr Prasanna to his death was jailed for 11 years after admitting all he wanted was ‘a few cheap packets of cigarettes’.","Prasanna Arulchelvam leapt into van as it sped away but was pushed out .
His head hit the ground with a 'nasty crunch' and he died 11 days later .
A gang tried to steal cigarettes from the victim's van before he gave chase .
All three have now been jailed, including the man who pushed Mr Prasanna .",0.2005187422,0.4427521825,0.3199562728,0.3153846154,0.7321428571,0.4408602151,0.1162790698,0.2727272727,0.1630434783,0.1692307692,0.3928571429,0.2365591398,0.9712,0.9657,0.0055,-0.9712,-0.9657,0.0055
Summary 19,19,"summarize: (CNN)A fiery sunset greeted people in Washington Sunday. The deep reddish color caught Seattle native Tim Durkan's eye. He photographed a handful of aerial shots of the sunset warming the city's skyline and shared them on CNN iReport. The stunning sunsets were the result of raging wildfires in parts of Siberia. ""The dramatic sunsets began showing up over the weekend and had Seattle locals wondering where the amber-colored haze was originating from,"" Durken said. The fires were started in southeastern Siberia, by farmers burning grass in their fields. But on April 14, it is believed that the flames quickly grew out of control because of strong winds and spread throughout the region, according to CNN affiliate KOMO-TV. As a result, the fires have destroyed dozens of villages in the region. Rescue crews were able to put out the flames.","Smoke from massive fires in Siberia created fiery sunsets in the Pacific Northwest .
Atmospheric winds carried smoke from the wildfires across the Pacific Ocean .
Smoke particles altered wavelengths from the sun, creating a more intense color .",0.004192279652,0.1242768094,0.06503795087,0.1034482759,0.4166666667,0.1657458564,0.01388888889,0.05714285714,0.02234636872,0.06896551724,0.2777777778,0.1104972376,0.7227,0.3384,0.3843,0.7227,0.3384,0.3843
Summary 20,20,"summarize: Archaeologists have uncovered the complete skeleton of a 17th-century camel that was likely used in the second Ottoman-Habsburg war. They believe the camel - the first intact camel skeleton found in central Europe - may have been left in the town of Tulln for trading after the siege of Vienna in 1683. In a country where cows dominate the rural landscape, the discovery in an Austrian cellar shocked scientists. The researchers described it as a 'sunken ship in the desert'. Archaeologists have uncovered the complete skeleton of an 'alien' 17th-century camel that was likely used in the second Ottoman-Habsburg war. They believe the camel - the first intact camel skeleton found in central Europe - may have been left in the town of Tulln for trading after the siege of Vienna in 1683 .","Scientists say camel was left in Tulln after the 1683 siege of Vienna .
It would have shocked residents as camels were an alien species .
'They didn't know what to feed it or whether one could eat it,' study said .
Ottoman army used camels for transportation and as riding animals .",0.02896673791,0.106134288,0.06877017021,0.1791044776,0.48,0.2608695652,0.03759398496,0.1020408163,0.05494505495,0.1268656716,0.34,0.1847826087,0.8402,0.3182,0.522,-0.8402,-0.3182,0.522
Summary 21,21,"summarize: (CNN)Would you want a TV program about your family history to include details of a distant, long-deceased relative who had owned slaves? Seriously, who in their right mind would want to be tarnished by the sins of an ancestor you had no connection to other than a remote bloodline? I wouldn't, and neither did Ben Affleck, who lobbied producers of a PBS show, ""Finding Your Roots,"" to remove any reference to his great-great-great grandfather Benjamin Cole, a Georgia slave owner in the mid-1800's, in an episode that looked at Affleck's family history. (Affleck revealed Cole's name Wednesday night.) Here's the thing that might surprise many, given the tendency of the media to exploit any potentially scandalous material: The show's producer, Harvard professor Henry Louis Gates Jr., apparently acquiesced to Affleck's request, because when the episode aired in October 2014, there was no mention of the star's slave-owning ancestor.","Ben Affleck admits he asked PBS show ""Finding Your Roots"" to avoid mentioning his slave-owning ancestor .
Dean Obeidallah says the actor and the show were right to leave the detail out .",-0.02373762056,0.221049428,0.09715485573,0.1288343558,0.65625,0.2153846154,0.05555555556,0.2903225806,0.0932642487,0.09202453988,0.46875,0.1538461538,0.8611,0.0516,0.8095,-0.8611,-0.0516,0.8095
Summary 22,22,"summarize: Wanted: A police e-fit image of millionaire people trafficker Ermias Ghermay, who is thought to have made £72m with his accomplice Mered Medhanie from smuggling migrants in the last two years . Two millionaire people traffickers have been heard mocking the migrant boat disasters that have resulted in thousands of deaths in the Mediterranean, it has been reported. One of them, an Eritrean called Mered Medhanie, also known as The General, was heard laughing on a police wiretap about overloading migrant ships, a problem that causes them to capsize.","Mered Medhanie and Ermias Ghermay 'have made £72m in last two years'
Medhanie heard on police wiretap mocking the fatal overcrowding of ships .
Ghermay reportedly said: 'I don't know what happened, they probably died'
Pair wanted over major smuggling ring, but are hiding in lawless Libya .",0.2133113593,0.2591176033,0.2373552173,0.2555555556,0.4893617021,0.3357664234,0.08988764045,0.1739130435,0.1185185185,0.1666666667,0.3191489362,0.2189781022,0.836,0.8554,-0.0194,-0.836,-0.8554,0.0194
Summary 23,23,"summarize: Princess Beatrice has been seen at the Bahrain Grand Prix, her fourth holiday in a month (pictured at the Abu Dhabi Grand Prix last November) After 11 holidays in under six months, you might have thought Princess Beatrice would be ready to put the brakes on her globetrotting. But yesterday the underemployed 26-year-old was spotted enjoying the high life in an overseas location yet again, this time at the Bahrain Grand Prix . She was in the Gulf state, ruled by a controversial king whose regime has been accused of violently repressing pro-democracy activists, with her long-term boyfriend Dave Clark, according to an onlooker who saw her among dignitaries on the starting grid before the race. ‘She was walking behind the Crown Prince of Bahrain. She was introduced to the recently abdicated King Carlos of Spain and curtseyed,’ the source said. ‘Bernie Ecclestone was leading that group of dignitaries.","Beatrice seen watching race on terrace with the Gulf state's Crown Prince .
Marks 13th holiday since November last year, and fourth in a month .
Princess quit her job at Sony Pictures in New York before Christmas .
Despite that she is described as working full-time on her father's website .",-0.02729845792,0.1709624082,0.07138533145,0.1960784314,0.5882352941,0.2941176471,0.03947368421,0.12,0.05940594059,0.08496732026,0.2549019608,0.1274509804,0.5994,0.4019,0.1975,0.5994,0.4019,0.1975
Summary 24,24,"summarize: After nearly two years of jockeying with Congress over the IRS's history of discriminating against conservative nonprofit groups, former official Lois Lerner won't be charged with a crime for defying a congressional subpoena and refusing to answer questions. U.S. Attorney Ronald Machen, on his last day in office, told House Speaker John Boehner in a seven-page letter that Lerner could wrap herself in the U.S. Constitution's Fifth Amendment, even though she offered a self-serving opening statement before clamming up during a May 22, 2013 hearing. Lerner has long been in the GOP's crosshairs because she led the IRS department tasked with approving nonprofit groups' applications for tax-exempt status. Beginning in 2010, the department gave conservative groups with words like 'patriots' or 'tea party' in their names extra scrutiny, slow-walking their applications and keping many in limbo for years.","Justice Dept. sent 7-page letter to House Speaker John Boehner explaining why the former IRS official was allowed to plead the Fifth Amendment .
Federal prosecutor in charge of the case sent his decision to Capitol Hill on the last day before his own resignation took effect .
Lerner offered a self-serving opening statement during a 2013 hearing, but refused to take questions even though she was under subpoena .
Hearing focused on the IRS's habit of targeting conservative groups with special scrutiny based on words like 'patriots' or 'tea party' in their names .
The DOJ says she can't be prosecuted for defying the subpoena 'because she made only general claims of innocence' and offered few details .",0.237173155,0.2974638045,0.2683359981,0.4362416107,0.5508474576,0.4868913858,0.2094594595,0.264957265,0.2339622642,0.2348993289,0.2966101695,0.2621722846,0.1048,0.9567,-0.8519,-0.1048,0.9567,0.8519
Summary 25,25,"summarize: Washington (CNN)ISIS is a problem that is ""off the charts historically"" and has sent the United States into ""uncharted territory"" when it comes to putting down the terror group, the Obama administration's point man in the fight recently told CNN. The comments, which Brett McGurk made in an exclusive interview, were some of the administration's strongest to date in describing the challenge the United States and its allies face in battling ISIS. ""This is a problem that is off the charts historically,"" he said, referring to the more than 20,000 foreign fighters who have gone into Syria.","Obama's point man in ISIS fight doesn't rule out U.S. military action beyond Iraq and Syria .
Brett McGurk: Iraqi leader making progress with Sunni tribes in planned Anbar offensive .",-0.01455641817,0.2021333128,0.09293527901,0.1274509804,0.40625,0.1940298507,0.0396039604,0.1290322581,0.06060606061,0.08823529412,0.28125,0.1343283582,0.5267,0.4215,0.1052,-0.5267,-0.4215,0.1052
Summary 26,26,"summarize: David Cameron has been secretly using hair dye to turn back the years Nigel Farage suggested today. In a dig at the Prime Minister, the Ukip leader said that he was ‘jealous’ of how the Tory leader has reversed the greying process while in Downing Street. After clashing at last week’s televised leaders debate, Mr Farage said he had shaken Mr Cameron’s hand and ‘complimented him on his appearance’. Scroll down for video . David Cameron - who has been accused of trying to hide his bald spot - has been secretly using hair dye to turn back the years, Nigel Farage suggested today . He added: ‘Any man who can reverse the greying process I’m jealous of. ‘I’m going to have a go myself, it’s a wonderful thing.","Farage claims PM has been secretly using hair dye to turn back the years .
He said: 'Any man who can reverse the greying process I’m jealous of'
The PM has been accused of visiting stylists to keep hair looking youthful .",0.144046247,0.4530034661,0.295119077,0.2519083969,0.8048780488,0.3837209302,0.1846153846,0.6,0.2823529412,0.1984732824,0.6341463415,0.3023255814,0.1779,0.4404,-0.2625,0.1779,-0.4404,0.2625
