Summary Index,Generated Summary,Reference Summary,BERTScore Precision,BERTScore Recall,BERTScore F1,ROUGE-1 F1,ROUGE-2 F1,ROUGE-L F1,Generated VADER Compound,Reference VADER Compound,Vader difference
20,First intact camel skeleton found in central Europe. It may have been left in the town of Tulln for trading after the siege of Vienna in 1683.,"Scientists say camel was left in Tulln after the 1683 siege of Vienna .
It would have shocked residents as camels were an alien species .
'They didn't know what to feed it or whether one could eat it,' study said .
Ottoman army used camels for transportation and as riding animals .",0.9063184857,0.8467023969,0.8754967451,0.3376623377,0.1066666667,0.2337662338,0.20,-0.32,0.5205
21,"Who in their right mind would want a TV program about your family history to include details of a distant, long-deceased relative who had owned slaves? I wouldn't, and neither did Ben Affleck, who lobbied producers of a PBS show, ""Finding Your Roots,"" to remove any reference to his great-grandfather.","Ben Affleck admits he asked PBS show ""Finding Your Roots"" to avoid mentioning his slave-owning ancestor .
Dean Obeidallah says the actor and the show were right to leave the detail out .",0.863445282,0.8721679449,0.8677846789,0.3529411765,0.1445783133,0.2117647059,0.08,-0.05,0.1288
22,Ermias Ghermay and his accomplice Mered Medhanie thought to have made £72m smuggling migrants in the last two years. They have been heard mocking the migrant boat disasters in the Mediterranean.,"Mered Medhanie and Ermias Ghermay 'have made £72m in last two years'
Medhanie heard on police wiretap mocking the fatal overcrowding of ships .
Ghermay reportedly said: 'I don't know what happened, they probably died'
Pair wanted over major smuggling ring, but are hiding in lawless Libya .",0.9133332968,0.8687298298,0.8904733658,0.4615384615,0.1842105263,0.3333333333,-0.86,-0.86,0.0001
23,"Princess Beatrice has been on 11 holidays in under six months. She was seen at the Bahrain Grand Prix, her fourth holiday in a month.","Beatrice seen watching race on terrace with the Gulf state's Crown Prince .
Marks 13th holiday since November last year, and fourth in a month .
Princess quit her job at Sony Pictures in New York before Christmas .
Despite that she is described as working full-time on her father's website .",0.8989462852,0.8402867317,0.8686273098,0.3684210526,0.05405405405,0.1842105263,0.81,0.40,0.4055
24,U.S. Attorney Ronald Machen told House Speaker John Boehner in a seven-page letter that Lerner could wrap herself in the Constitution's Fifth Amendment. Machen's letter came on his last day in office.,"Justice Dept. sent 7-page letter to House Speaker John Boehner explaining why the former IRS official was allowed to plead the Fifth Amendment .
Federal prosecutor in charge of the case sent his decision to Capitol Hill on the last day before his own resignation took effect .
Lerner offered a self-serving opening statement during a 2013 hearing, but refused to take questions even though she was under subpoena .
Hearing focused on the IRS's habit of targeting conservative groups with special scrutiny based on words like 'patriots' or 'tea party' in their names .
The DOJ says she can't be prosecuted for defying the subpoena 'because she made only general claims of innocence' and offered few details .",0.8869440556,0.8302107453,0.8576402068,0.2337662338,0.07894736842,0.1428571429,0.00,0.96,0.9567
25,"Brett McGurk, the Obama administration's point man in the fight against ISIS, told CNN that the U.S. is in ""uncharted territory"" when it comes to putting down the terror group.","Obama's point man in ISIS fight doesn't rule out U.S. military action beyond Iraq and Syria .
Brett McGurk: Iraqi leader making progress with Sunni tribes in planned Anbar offensive .",0.8832329512,0.8699349165,0.8765335083,0.375,0.1612903226,0.28125,-0.72,-0.42,0.2969
26,Ukip leader said he was 'jealous' of how the Tory leader has reversed the greying process while in Downing Street. Mr Farage said he had shaken Mr Cameron’s hand and ‘complimented him on his appearance’,"Farage claims PM has been secretly using hair dye to turn back the years .
He said: 'Any man who can reverse the greying process I’m jealous of'
The PM has been accused of visiting stylists to keep hair looking youthful .",0.8601410389,0.8588795662,0.8595098257,0.2857142857,0.1066666667,0.1298701299,-0.03,-0.44,0.4146
27,"David Hyche, now a special agent at the Bureau of Alcohol, Tobacco and Firearms (ATF), developed the technology nine years ago. A transmitter is placed inside plastic eggs that let off a high-pitched beeping sound.","Bomb expert David Hyche created the eggs when his daughter turned blind .
The children follow sound of a beeper in a plastic egg, trade it for candy .
He has now passed on the idea to Alabama Institute for Deaf and Blind .",0.8573940992,0.8487577438,0.8530541062,0.3116883117,0.05333333333,0.1818181818,0.40,-0.77,1.1669
28,"Jamyra Gallmon, 21, has been charged with first-degree murder while armed for allegedly killing David Messerschmitt, 30, on February 9 in Washington, D.C.","David Messerschmitt, 30, who met his wife in college, had been using Craigslist to solicit men, according to an affidavit on Tuesday .
Jamyra Gallmon, 21, 'contacted victim using a masculine-sounding email address and went to hotel with the intention of robbing him'
The pair got into a struggle on February 9 and she stabbed him repeatedly in the abdomen, back and groin .
The lawyer was found dead at the upscale Washington DC hotel after being reported missing by his wife .
Gallmon made an initial appearance on the murder charge Superior Court in DC on Thursday .",0.8924534321,0.8346954584,0.8626086712,0.2479338843,0.1008403361,0.1487603306,-0.90,-0.93,0.0346
29,"Notorious mass murderer Peter Sutcliffe is to be moved to a cushy low security unit, it has been claimed. Sutcliffe has spent more than three decades in Broadmoor for the savage killings of 13 women.","Serial killer Peter Sutcliffe, 68, was jailed for life for murdering 13 women .
Held at Broadmoor since being diagnosed with paranoid schizophrenia .
He is now being considered for a move to the low-security Priory unit .",0.9023084641,0.8878352642,0.8950133324,0.4507042254,0.115942029,0.2535211268,-0.94,-0.93,0.0103
30,"Militants fighting for the Islamic State terror group in Syria have announced that all nurses working in areas under their control must speak English. Revealing plans to open a school of nursing in Raqqa, the extremists also disclosed the tough entry requirements for prospective medical workers.","ISIS has announced that all nurses working for them must speak English .
Rule was one of the entry requirements for a new nursing school in Raqqa .
NHS has also attempted to introduce English language checks for nurses .
But despite the law being approved, a lengthy consultation process means EU-trained nurses are still being employed without English tests .",0.872349143,0.8585087061,0.8653735518,0.4230769231,0.1764705882,0.2692307692,-0.75,0.57,1.3225
