Generated Summary,Reference Summary,Precision,Recall,F1 Score,ROUGE-1 Precision,ROUGE-1 Recall,ROUGE-1 F1,ROUGE-2 Precision,ROUGE-2 Recall,ROUGE-2 F1,ROUGE-L Precision,ROUGE-L Recall,ROUGE-L F1,Vader Sentiment Generated,Vader Sentiment Reference,Compound Generated,Compound Reference,Vader Difference
"summarize: Biting his nails nervously, these are the first pictures of the migrant boat captain accused of killing 900 men, women and children in one of the worst maritime disasters since World War Two. Tunisian skipper Mohammed Ali Malek, 27, was arrested when he stepped onto Sicilian soil last night, some 24 hours after his  boat capsized in the Mediterranean. Before leaving the Italian coastguard vessel, however, he was forced to watch a video of the sinking of the ship, which he had seen on the internet. The captain is accused of killing 900 men, women and children in one of the worst maritime disasters since World War Two. Tunisian skipper Mohammed Ali Malek, 27, was arrested when he stepped onto Sicilian soil last night, some 24 hours after his boat capsized in the Mediterranean. Before leaving the Italian coastguard vessel, however, he was","Mohammed Ali Malek, 27, has been charged with multiple manslaughter .
Arrived in Malta on Italian rescue ship with bodies of 24 migrant victims .
He was arrested alongside his 26-year-old Syrian 'smuggler accomplice'
Prosecutors say Malek crashed into ship which had come to its rescue .
Migrants then shifted position as result of collision, causing it to capsize .",0.8259904981,0.8436573148,0.8347304463,0.1458333333,0.3620689655,0.2079207921,0.04195804196,0.1052631579,0.06,0.09027777778,0.224137931,0.1287128713,"{'neg': 0.266, 'neu': 0.734, 'pos': 0.0, 'compound': -0.9933}","{'neg': 0.177, 'neu': 0.732, 'pos': 0.091, 'compound': -0.6369}",-0.9933,-0.6369,0.3564
"summarize: South Korea Ambassador Lippert is now wearing a dynamic exoskeletal brace on his hand while he recovers from last month's knife attack. Mark Lippert, 42, suffered deep gashes to his cheek and hand when he was assaulted by knife-wielding nationalist Kim Ki-Jong at a breakfast function in central Seoul last month. The envoy required 80 stitches to the wound on his face and two-and-a-half hours of surgery. Scroll down for video South Korean Ambassador Mark Lippert is now wearing a dynamic exoskeletal brace on his hand while he recovers from last month's knife attack. Mark Lippert, 42, suffered deep gashes to his cheek and hand when he was assaulted by knife-wielding nationalist Kim Ki-Jong at a breakfast function in central Seoul last month. The envoy required 80 stitches to the wound on his face and two-and-a-half hours of surgery. Lipp","Lippert, 42, suffered deep gashes to his hand when he was assaulted by knife-wielding nationalist Kim Ki-Jong in central Seoul last month .
'It is an amazing apparatus, one I haven't seen before - so innovative and creative,' he wrote on Facebook .",0.8454099298,0.8729454279,0.8589570522,0.1830065359,0.6511627907,0.2857142857,0.1447368421,0.5238095238,0.2268041237,0.1830065359,0.6511627907,0.2857142857,"{'neg': 0.117, 'neu': 0.775, 'pos': 0.108, 'compound': -0.34}","{'neg': 0.115, 'neu': 0.643, 'pos': 0.242, 'compound': 0.8077}",-0.34,0.8077,1.1477
"summarize: England captain Alastair Cook completed a much-needed century on the second morning of England's opening tour match in the West Indies. Cook resumed on 95 and reached three figures with minimal fuss before retiring out. England captain Alastair Cook completed a century on the second morning of England's opening tour match . A controlled thick edge from the first ball of the day brought him an 11th boundary of the innings and in the following over he punched the ball for two sixes to complete his century. Cook, 37, made his first century in the West Indies in 2007 and has now scored 1, 000 first-class runs in all competitions. He is the first England batsman to score 1, 000 first-class runs in the West Indies. Cook's 1, 000 first-class runs in the West Indies is the most by a batsman to score ","Alastair Cook completed his century on the second morning of action .
England captain resumed on 95 and reached three figures before retiring .
That allowed Ian Bell to arrive at the crease as tourists continued to bat .",0.8324602246,0.8799327612,0.8555384278,0.16,0.6666666667,0.2580645161,0.1140939597,0.4857142857,0.1847826087,0.1466666667,0.6111111111,0.2365591398,"{'neg': 0.0, 'neu': 0.99, 'pos': 0.01, 'compound': 0.1027}","{'neg': 0.0, 'neu': 0.964, 'pos': 0.036, 'compound': 0.1027}",0.1027,0.1027,0
"summarize: (CNN)Warren Weinstein, who appears to have been the only American citizen held hostage by al Qaeda, was accidentally killed in a U.S. drone strike in January. But it didn't have to be that way. A senior U.S. official familiar with the handling of the issue told CNN that the U.S. government made no serious effort to negotiate for the 73-year-old development expert's release, either directly to al Qaeda or through proxies in Pakistan. Another senior U. S. official told CNN that the U. S. government made no serious effort to negotiate for the 73-year-old development expert's release, either directly to al Qaeda or through proxies in Pakistan. The U. S. government made no serious effort to negotiate for the 73-year-old development expert's release, either directly to al Qaeda or through proxies in Pakistan. The U. S. government made no serious effort to negotiate for the 7","U.S. hostage Warren Weinstein is believed to have been accidentally killed in counter-terrorism strike .
Peter Bergen: U.S. should rethink hostage policy to increase chances of freeing those held .",0.8235992193,0.8766038418,0.8492753506,0.1055900621,0.5483870968,0.1770833333,0.04375,0.2333333333,0.07368421053,0.07453416149,0.3870967742,0.125,"{'neg': 0.038, 'neu': 0.927, 'pos': 0.035, 'compound': -0.3331}","{'neg': 0.212, 'neu': 0.606, 'pos': 0.182, 'compound': -0.296}",-0.3331,-0.296,0.0371
"summarize: A thief nicknamed the 'Black Widow of Facebook'  who drugged and robbed men after she lured them into bed has been arrested. Argentinian con-artist Sofia Davila posted raunchy pictures or herself online and then flirted with unsuspecting men she had contacted on the social network, suggesting they meet up for sex. But after meeting her victims, the 21-year-old from Buenos Aires, would spike their drinks and wait for them to fall unconscious. She then drugged them and took them to a hotel room where she would wait for them to fall asleep. She would then take them to a hotel room where she would wait for them to fall asleep. She would then take them to a hotel room where she would wait for them to fall asleep. She would then take them to a hotel room where she would wait for them to fall asleep. She would then take them to a hotel room where she would wait for them","Sofia Davila, 21, nicknamed the 'Black Widow of Facebook' over crimes .
Caught after going to police, claiming she was forced out her victim's flat .
She has admitted bedding and robbing 15 men after spiking their drinks .",0.8238924146,0.8842641115,0.8530113697,0.1454545455,0.6486486486,0.2376237624,0.06707317073,0.3055555556,0.11,0.09090909091,0.4054054054,0.1485148515,"{'neg': 0.05, 'neu': 0.95, 'pos': 0.0, 'compound': -0.743}","{'neg': 0.072, 'neu': 0.894, 'pos': 0.034, 'compound': -0.3818}",-0.743,-0.3818,0.3612
"summarize: As Australian Fashion Week comes to a close, a new damning report has named and shamed some of the worst clothing brands sold in Australia and their companies, for the ongoing exploitation of their overseas workers. Lowes, Industrie, Best & Less and the Just Group - which includes Just Jeans, Portmans and Dotti - were identified as some of the worst performing companies by The 2015 Australian Fashion Report. Amongst the best performers were Etiko, Audrey Blue, Lululemon and H&M. The 2015 Australian Fashion Report, published by the Australian Council of Trade Unions (ACTU) and the Australian Council of Fashion Designers of Australia (ACFDA), is the most comprehensive report of its kind to date. The 2015 report, which was released on 30 September 2015, is the first in a series of reports to be published by the ACTU and","Australian Fashion Report revealed the Australian-sold brands and companies that ignore the exploitation of their overseas workers .
Lowes, Industrie, Best & Less and the Just Group - which includes Just Jeans, Portmans and Dotti - were  some of the worst performers .
Etiko, Audrey Blue, Cotton On, H&M and Zara had some of the best scores .
75 per cent of companies don't know the source of all their fabrics and inputs .",0.8653753996,0.9077138305,0.8860391378,0.384057971,0.7571428571,0.5096153846,0.2408759124,0.4782608696,0.3203883495,0.3333333333,0.6571428571,0.4423076923,"{'neg': 0.089, 'neu': 0.823, 'pos': 0.088, 'compound': -0.0276}","{'neg': 0.078, 'neu': 0.824, 'pos': 0.099, 'compound': 0.4215}",-0.0276,0.4215,0.4491
"summarize: Arsenal's midfield trio Jack Wilshere, Mikel Arteta and Abou Diaby have all been handed starts for the club's Under 21s game on Tuesday night as they continue their respective recoveries from injury. Steve Gatting's young Gunners take on Stoke City at the Emirates Stadium in a U21 Premier League clash. Teenage winger Serge Gnabry is also in the starting line-up, alongside a host of promising youngsters including Dan Crowley. Jack Wilshere, Mikel Arteta and Abou Diaby have all been handed starts for the club's Under 21s game on Tuesday night as they continue their respective recoveries from injury. Arsenal's midfield trio Jack Wilshere, Mikel Arteta and Abou Diaby have all been handed starts for the club's Under 21s game on Tuesday night as they continue their respective recoveries from injury. Arsenal's midfield trio Jack Wilshere","Arsenal take on Stoke City in Barclays Under 21 Premier League clash .
Jack Wilshere and club captain Mikel Arteta have been out since November .
Abou Diaby has been ravaged by injuries during nine-year spell at club .
Arteta, Wilshere and Diaby are all close to first-team returns .
Young winger Serge Gnabry also in the side on return from injury .
READ: Arsenal's Alex Oxlade-Chamberlain, Calum Chambers, Jack Wilshere and Danny Welbeck keep their agents close .
CLICK HERE for all the latest Arsenal news .",0.8563153744,0.8532936573,0.8548018336,0.3402777778,0.5764705882,0.4279475983,0.1048951049,0.1785714286,0.1321585903,0.2013888889,0.3411764706,0.2532751092,"{'neg': 0.057, 'neu': 0.869, 'pos': 0.075, 'compound': 0.4019}","{'neg': 0.031, 'neu': 0.969, 'pos': 0.0, 'compound': -0.4215}",0.4019,-0.4215,0.8234
"summarize: Tragedy: Prasanna ‘Nick’ Arulchelvam died when he fell from a van while chasing a gang of thieves . A courageous shopkeeper was killed when he made a desperate attempt to stop a gang of thieves who had broken into his van in a cash and carry car park. Prasanna ‘Nick’ Arulchelvam ran and jumped through an open side door of their van, but was pushed out and hit the ground as the van was being driven away by the gang of thieves. The shopkeeper was killed when he made a desperate attempt to stop a gang of thieves who had broken into his van in a cash and carry car park. Prasanna ‘Nick’ Arulchelvam died when he fell from a van while chasing a gang of thieves. A courageous shopkeeper was killed when he made a desperate attempt to stop a gang of thieves who had broken into his van in a cash","Prasanna Arulchelvam leapt into van as it sped away but was pushed out .
His head hit the ground with a 'nasty crunch' and he died 11 days later .
A gang tried to steal cigarettes from the victim's van before he gave chase .
All three have now been jailed, including the man who pushed Mr Prasanna .",0.8349865079,0.8641375899,0.8493120074,0.1895424837,0.5178571429,0.2775119617,0.03947368421,0.1090909091,0.05797101449,0.1176470588,0.3214285714,0.1722488038,"{'neg': 0.34, 'neu': 0.627, 'pos': 0.033, 'compound': -0.9964}","{'neg': 0.251, 'neu': 0.749, 'pos': 0.0, 'compound': -0.9657}",-0.9964,-0.9657,0.0307
"summarize: (CNN)A fiery sunset greeted people in Washington Sunday. The deep reddish color caught Seattle native Tim Durkan's eye. He photographed a handful of aerial shots of the sunset warming the city's skyline and shared them on CNN iReport. The stunning sunsets were the result of raging wildfires in parts of Siberia. ""The dramatic sunsets began showing up over the weekend and had Seattle locals wondering where the amber-colored haze was originating from,"" Durken said. The fires in Siberia have been raging for more than a month. They have burned more than 1. 5 million acres of land and killed more than 1, 000 people. The fires have been fueled by the melting permafrost in the region. Durkan said he was surprised by how quickly the fires were spreading. ""I thought it was going to take a long time,"" Durkan said. ""I didn't expect it to spread so quickly.""","Smoke from massive fires in Siberia created fiery sunsets in the Pacific Northwest .
Atmospheric winds carried smoke from the wildfires across the Pacific Ocean .
Smoke particles altered wavelengths from the sun, creating a more intense color .",0.827363193,0.8496303558,0.8383488655,0.0974025974,0.4166666667,0.1578947368,0.02614379085,0.1142857143,0.04255319149,0.07142857143,0.3055555556,0.1157894737,"{'neg': 0.083, 'neu': 0.852, 'pos': 0.065, 'compound': -0.7269}","{'neg': 0.056, 'neu': 0.81, 'pos': 0.134, 'compound': 0.3384}",-0.7269,0.3384,1.0653
"summarize: Archaeologists have uncovered the complete skeleton of a 17th-century camel that was likely used in the second Ottoman-Habsburg war. They believe the camel - the first intact camel skeleton found in central Europe - may have been left in the town of Tulln for trading after the siege of Vienna in 1683. In a country where cows dominate the rural landscape, the discovery in an Austrian cellar shocked scientists. The researchers described it as a 'sunken camel' - a camel that had been buried in the ground for centuries. The skeleton was found in a cellar in Tulln, a town in the Austrian state of Carinthia. It is the first complete skeleton of a camel found in central Europe since the 1970s. It is believed to have been used in the siege of Vienna in 1683, when the Ottomans besieged the city. The skeleton was found in a","Scientists say camel was left in Tulln after the 1683 siege of Vienna .
It would have shocked residents as camels were an alien species .
'They didn't know what to feed it or whether one could eat it,' study said .
Ottoman army used camels for transportation and as riding animals .",0.8408189416,0.8488980532,0.8448391557,0.1756756757,0.52,0.2626262626,0.03401360544,0.1020408163,0.05102040816,0.1081081081,0.32,0.1616161616,"{'neg': 0.05, 'neu': 0.939, 'pos': 0.012, 'compound': -0.7096}","{'neg': 0.042, 'neu': 0.958, 'pos': 0.0, 'compound': -0.3182}",-0.7096,-0.3182,0.3914
"summarize: (CNN)Would you want a TV program about your family history to include details of a distant, long-deceased relative who had owned slaves? Seriously, who in their right mind would want to be tarnished by the sins of an ancestor you had no connection to other than a remote bloodline? I wouldn't, and neither did Ben Affleck, who lobbied producers of a PBS show, ""Finding Your Roots,"" to remove any reference to his great-great-great-grandfather, who owned slaves in the 19th century. ""Finding Your Roots"" is a show about family history, but it's not about slavery. It's not even about the Civil War. It's not even about the American Revolution. It's not even about the French Revolution. It's not even about the Spanish-American War. It's not even about World War II. It's not even about the Korean War. It's not even about the","Ben Affleck admits he asked PBS show ""Finding Your Roots"" to avoid mentioning his slave-owning ancestor .
Dean Obeidallah says the actor and the show were right to leave the detail out .",0.8150880337,0.8627732992,0.8382530212,0.127388535,0.625,0.2116402116,0.03846153846,0.1935483871,0.06417112299,0.08280254777,0.40625,0.1375661376,"{'neg': 0.161, 'neu': 0.794, 'pos': 0.045, 'compound': -0.969}","{'neg': 0.096, 'neu': 0.843, 'pos': 0.062, 'compound': -0.0516}",-0.969,-0.0516,0.9174
"summarize: Wanted: A police e-fit image of millionaire people trafficker Ermias Ghermay, who is thought to have made £72m with his accomplice Mered Medhanie from smuggling migrants in the last two years . Two millionaire people traffickers have been heard mocking the migrant boat disasters that have resulted in thousands of deaths in the Mediterranean, it has been reported. One of them, an Eritrean called Mered Medhanie, also known as The Beast, is thought to have made £72m with his accomplice Ermias Ghermay, who is thought to have made £72m with his accomplice Mered Medhanie from smuggling migrants in the last two years. Two millionaire people traffickers have been heard mocking the migrant boat disasters that have resulted in thousands of deaths in the Mediterranean, it has been reported. One of them, an Eritrean called Mered Medhanie,","Mered Medhanie and Ermias Ghermay 'have made £72m in last two years'
Medhanie heard on police wiretap mocking the fatal overcrowding of ships .
Ghermay reportedly said: 'I don't know what happened, they probably died'
Pair wanted over major smuggling ring, but are hiding in lawless Libya .",0.8398541808,0.8572005033,0.8484387398,0.1532846715,0.4468085106,0.2282608696,0.05147058824,0.152173913,0.07692307692,0.1167883212,0.3404255319,0.1739130435,"{'neg': 0.126, 'neu': 0.874, 'pos': 0.0, 'compound': -0.9571}","{'neg': 0.21, 'neu': 0.79, 'pos': 0.0, 'compound': -0.8554}",-0.9571,-0.8554,0.1017
"summarize: Princess Beatrice has been seen at the Bahrain Grand Prix, her fourth holiday in a month (pictured at the Abu Dhabi Grand Prix last November) After 11 holidays in under six months, you might have thought Princess Beatrice would be ready to put the brakes on her globetrotting. But yesterday the underemployed 26-year-old was spotted enjoying the high life in an overseas location yet again, this time at the Bahrain Grand Prix . She was in the Gulf with her father, Prince Harry, and her mother, Princess Eugenie, who are staying in the United Arab Emirates. Princess Beatrice, who was born in 1994, has been seen at the Bahrain Grand Prix, her fourth holiday in a month (pictured at the Abu Dhabi Grand Prix last November) She was spotted enjoying the high life in an overseas location yet again, this time at the Bahrain Grand Prix . She was in the Gulf with her father,","Beatrice seen watching race on terrace with the Gulf state's Crown Prince .
Marks 13th holiday since November last year, and fourth in a month .
Princess quit her job at Sony Pictures in New York before Christmas .
Despite that she is described as working full-time on her father's website .",0.8261198997,0.850679636,0.8382198811,0.1602564103,0.4901960784,0.2415458937,0.03225806452,0.1,0.0487804878,0.1025641026,0.3137254902,0.154589372,"{'neg': 0.0, 'neu': 0.774, 'pos': 0.226, 'compound': 0.9911}","{'neg': 0.0, 'neu': 0.95, 'pos': 0.05, 'compound': 0.4019}",0.9911,0.4019,0.5892
